Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
University Annual Fund,Boston,College of Agriculture and Natural Resources,Endowment,6906,9/18/2010,Environmental Studies and Agriscience,1483,MA
Diversity Fund,Raleigh,College of Social Science,Endowment,9422,10/7/2010,Criminal Justice,1484,NC
University Annual Fund,Tallahassee,College of Nursing,Endowment,4036,8/23/2011,Summer Research Program,1485,FL
Trustees Fund,Detroit,College of Natural Science,Endowment,5002,8/8/2010,Geological Sciences,1486,MI
Campus Museums,Atlanta,College of Natural Science,Campus Resource,8925,5/12/2011,Physical Science Interdepartmental,1487,GA
Campus Recreation,Detroit,College of Engineering,Campus Resource,5175,6/27/2010,Materials Science and Engineering,1488,MI
College of Arts and Sciences,Dallas,College of Social Science,Scholarship,4328,8/2/2011,Psychology,1489,TX
Trustees Fund,Phoenix,College of Natural Science,Endowment,2805,10/20/2010,Physical Science Interdepartmental,1490,AZ
College of Natural Science,Savannah,College of Social Science,Scholarship,5845,3/22/2011,Political Science-Prelaw,1491,GA
Trustees Fund,Lansing,College of Social Science,Endowment,4204,10/6/2010,Interdisciplinary Studies in Social Science,1492,MI
Athletics,Lansing,College of Social Science,Campus Resource,6074,7/7/2011,Interdisciplinary Studies in Social Science,1492,MI
Trustees Fund,Boston,College of Agriculture and Natural Resources,Endowment,9735,9/8/2010,Natural Resource Recreation and Tourism,1493,MA
College of Natural Science,Denver,College of Arts and Sciences,Scholarship,14587.5,10/15/2011,Interdisciplinary Humanities,1494,CO
Alumni Association,Charlotte,College of Agriculture and Natural Resources,Campus Resource,5020,10/12/2010,Horticulture,1495,NC
Alumni Association,Phoenix,College of Political Science,Campus Resource,41,2/7/2011,Social Relations and Policy,1496,AZ
University Annual Fund,Phoenix,College of Political Science,Endowment,41,2/23/2015,Social Relations and Policy,1496,AZ
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,643,6/21/2010,Human Biology,1497,CO
Faculty Chair Endowments,Colorado Springs,College of Natural Science,Endowment,643,11/27/2015,Human Biology,1497,CO
College of Agriculture and Natural Resources,Oklahoma City,College of Natural Science,Scholarship,3349,6/10/2011,Earth Science Interdepartmental,1498,OK
Honors Program,Oklahoma City,College of Natural Science,Campus Resource,3349,8/3/2015,Earth Science Interdepartmental,1498,OK
College of Agriculture and Natural Resources,Chicago,College of Social Science,Scholarship,1384,5/1/2010,Urban and Regional Planning,1499,IL
Faculty Chair Endowments,Chicago,College of Social Science,Endowment,1384,6/7/2015,Urban and Regional Planning,1499,IL
Trustees Fund,Atlanta,College of Arts and Sciences,Endowment,2879,11/14/2011,German,1500,GA
Faculty Chair Endowments,Atlanta,College of Arts and Sciences,Endowment,2879,11/27/2015,German,1500,GA
Faculty Chair Endowments,Birmingham,College of Communication Arts and Sciences,Endowment,6003,8/1/2015,Media and Information,1501,AL
Faculty Chair Endowments,Birmingham,College of Communication Arts and Sciences,Endowment,6003,12/27/2015,Media and Information,1501,AL
University Annual Fund,New York,College of Business,Endowment,4065,1/19/2015,General Management,1502,NY
Faculty Chair Endowments,New York,College of Business,Endowment,4065,4/3/2015,General Management,1502,NY
Minority Scholarship Fund,Atlanta,College of Business,Scholarship,2379,5/12/2015,Finance,1503,GA
College of Agriculture and Natural Resources,Atlanta,College of Business,Scholarship,2379,10/9/2015,Finance,1503,GA
College of Agriculture and Natural Resources,Cincinnati,College of Arts and Sciences,Scholarship,714,10/18/2015,Professional Writing,1504,OH
Faculty Chair Endowments,Cincinnati,College of Arts and Sciences,Endowment,714,12/28/2015,Professional Writing,1504,OH
Parents Association,Madison,College of Political Science,Campus Resource,6479,10/23/2015,Social Relations and Policy,1505,WI
College of Arts and Sciences,Madison,College of Political Science,Scholarship,6479,12/1/2015,Social Relations and Policy,1505,WI
College of Arts and Sciences,Houston,College of Social Science,Scholarship,6051,1/31/2015,World Politics,1506,TX
University Libraries,Houston,College of Social Science,Campus Resource,6051,7/4/2015,World Politics,1506,TX
College of Natural Science,Madison,College of Social Science,Scholarship,175,7/1/2015,Psychology,1507,WI
Diversity Fund,Madison,College of Social Science,Endowment,175,5/13/2015,Psychology,1507,WI
College of Arts and Sciences,Colorado Springs,College of Arts and Sciences,Scholarship,2119,12/31/2015,Interdisciplinary Humanities,1508,CO
College of Music,Colorado Springs,College of Arts and Sciences,Scholarship,2119,9/11/2015,Interdisciplinary Humanities,1508,CO
Faculty Chair Endowments,Cincinnati,College of Natural Science,Endowment,3240,10/2/2015,Environmental Biology/Zoology,1509,OH
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,3240,1/8/2015,Environmental Biology/Zoology,1509,OH
College of Education,Los Angeles,College of Social Science,Scholarship,1563,12/30/2015,Human Development and Family Studies,1510,CA
University Annual Fund,Los Angeles,College of Social Science,Endowment,1563,7/15/2015,Human Development and Family Studies,1510,CA
College of Education,Durham,College of Social Science,Scholarship,4607,10/11/2015,Economics,1511,NC
Athletics,Durham,College of Social Science,Campus Resource,4607,1/24/2015,Economics,1511,NC
Athletics,Mesa,College of Political Science,Campus Resource,6182,8/14/2015,Social Relations and Policy,1512,AZ
University Annual Fund,Mesa,College of Political Science,Endowment,6182,12/4/2015,Social Relations and Policy,1512,AZ
College of Arts and Sciences,San Francisco,College of Music,Scholarship,7834,2/25/2015,Music,1513,CA
Parents Association,San Francisco,College of Music,Campus Resource,7834,1/10/2015,Music,1513,CA
College of Education,Charlotte,College of Natural Science,Scholarship,9292,6/7/2015,Environmental Geosciences,1514,NC
Alumni Association,Charlotte,College of Natural Science,Campus Resource,9292,11/26/2015,Environmental Geosciences,1514,NC
College of Nursing,Cedar Rapids,College of Arts and Sciences,Scholarship,4461,6/19/2015,Arts & Letters-General,1515,IA
College of Social Science,Cedar Rapids,College of Arts and Sciences,Scholarship,4461,8/12/2015,Arts & Letters-General,1515,IA
University Annual Fund,Denver,College of Social Science,Endowment,7464,3/30/2015,History Education,1516,CO
University Annual Fund,Denver,College of Social Science,Endowment,7464,5/16/2015,History Education,1516,CO
Trustees Fund,Henderson,College of Natural Science,Endowment,5085,8/27/2015,Predental,1517,NV
College of Social Science,Henderson,College of Natural Science,Scholarship,5085,5/11/2015,Predental,1517,NV
Faculty Chair Endowments,Albuquerque,College of Social Science,Endowment,9079,6/22/2015,Anthropology,1518,NM
College of Education,Albuquerque,College of Social Science,Scholarship,9079,11/12/2015,Anthropology,1518,NM
University Libraries,St. Louis,College of Engineering,Campus Resource,7795,3/27/2015,Computer Science,1519,MO
University Libraries,St. Louis,College of Engineering,Campus Resource,7795,2/27/2015,Computer Science,1519,MO
College of Arts and Sciences,West Valley City,College of Arts and Sciences,Scholarship,6155,2/16/2015,Japanese,1520,UT
Minority Scholarship Fund,West Valley City,College of Arts and Sciences,Scholarship,6155,4/28/2015,Japanese,1520,UT
College of Natural Science,Wichita,College of Social Science,Scholarship,7601,3/6/2015,Psychology,1521,KS
Diversity Fund,Wichita,College of Social Science,Endowment,7601,8/5/2015,Psychology,1521,KS
University Annual Fund,Provo,College of Social Science,Endowment,3478,5/25/2015,Public Policy,1522,UT
Athletics,Provo,College of Social Science,Campus Resource,3478,4/26/2015,Public Policy,1522,UT
In-State Scholarship Fund,New York,College of Natural Science,Scholarship,8006,11/15/2015,Earth Science Interdepartmental,1523,NY
University Libraries,New York,College of Natural Science,Campus Resource,8006,12/30/2015,Earth Science Interdepartmental,1523,NY
Diversity Fund,Phoenix,College of Natural Science,Endowment,243,5/6/2015,Plant Biology,1524,AZ
University Annual Fund,Phoenix,College of Natural Science,Endowment,243,11/9/2015,Plant Biology,1524,AZ
College of Music,Seattle,College of Agriculture and Natural Resources,Scholarship,6205,2/26/2015,Food Industry Management,1525,WA
College of Nursing,Seattle,College of Agriculture and Natural Resources,Scholarship,6205,5/25/2015,Food Industry Management,1525,WA
College of Natural Science,Wichita,College of Agriculture and Natural Resources,Scholarship,8941,9/13/2015,Agriculture and Natural Resources-No Preference,1526,KS
Faculty Chair Endowments,Wichita,College of Agriculture and Natural Resources,Endowment,8941,8/30/2015,Agriculture and Natural Resources-No Preference,1526,KS
College of Arts and Sciences,Manchester,College of Arts and Sciences,Scholarship,5988,4/22/2015,Arts & Letters-General,1527,NH
University Annual Fund,Manchester,College of Arts and Sciences,Endowment,5988,5/7/2015,Arts & Letters-General,1527,NH
Honors Program,Albuquerque,College of Social Science,Campus Resource,7641,9/10/2015,Urban and Regional Planning,1528,NM
College of Music,Albuquerque,College of Social Science,Scholarship,7641,2/20/2015,Urban and Regional Planning,1528,NM
College of Engineering,Colorado Springs,College of Arts and Sciences,Scholarship,631,7/13/2015,Philosophy,1529,CO
College of Engineering,Colorado Springs,College of Arts and Sciences,Scholarship,631,4/5/2015,Philosophy,1529,CO
Faculty Chair Endowments,Kansas City,College of Agriculture and Natural Resources,Endowment,383,3/8/2015,Animal Science,1530,MO
College of Arts and Sciences,Kansas City,College of Agriculture and Natural Resources,Scholarship,383,8/11/2015,Animal Science,1530,MO
Faculty Chair Endowments,Indianapolis,College of Arts and Sciences,Endowment,699,5/18/2015,Apparel and Textiles,1531,IN
College of Arts and Sciences,Indianapolis,College of Arts and Sciences,Scholarship,699,5/22/2015,Apparel and Textiles,1531,IN
College of Music,Detroit,College of Arts and Sciences,Scholarship,8816,11/22/2015,Spanish,1532,MI
College of Arts and Sciences,Detroit,College of Arts and Sciences,Scholarship,8816,2/4/2015,Spanish,1532,MI
College of Education,Little Rock,College of Arts and Sciences,Scholarship,5158,2/16/2015,Arabic,1533,AR
College of Agriculture and Natural Resources,Little Rock,College of Arts and Sciences,Scholarship,5158,5/1/2015,Arabic,1533,AR
Trustees Fund,Indianapolis,College of Natural Science,Endowment,5453,7/10/2015,Human Biology,1534,IN
College of Arts and Sciences,Indianapolis,College of Natural Science,Scholarship,5453,5/22/2015,Human Biology,1534,IN
Trustees Fund,El Paso,College of Natural Science,Endowment,9145,9/9/2015,Earth Science Interdepartmental,1535,TX
College of Agriculture and Natural Resources,El Paso,College of Natural Science,Scholarship,9145,11/7/2015,Earth Science Interdepartmental,1535,TX
College of Agriculture and Natural Resources,New Orleans,College of Business,Scholarship,7610,8/7/2015,General Management,1536,LA
Faculty Chair Endowments,New Orleans,College of Business,Endowment,7610,3/27/2015,General Management,1536,LA
Campus Museums,Tulsa,College of Business,Campus Resource,5901,4/5/2015,Supply Chain Management,1537,OK
College of Arts and Sciences,Tulsa,College of Business,Scholarship,5901,2/21/2015,Supply Chain Management,1537,OK
University Annual Fund,Colorado Springs,College of Engineering,Endowment,995,9/11/2015,Electrical Engineering,1538,CO
Trustees Fund,Colorado Springs,College of Engineering,Endowment,995,10/4/2015,Electrical Engineering,1538,CO
Trustees Fund,Fresno,College of Agriculture and Natural Resources,Endowment,2300,5/3/2015,Natural Resource Recreation and Tourism,1539,CA
College of Arts and Sciences,Fresno,College of Agriculture and Natural Resources,Scholarship,2300,4/9/2015,Natural Resource Recreation and Tourism,1539,CA
Trustees Fund,Cincinnati,College of Arts and Sciences,Endowment,6997,12/4/2015,Global Studies in the Arts and Humanities,1540,OH
College of Natural Science,Cincinnati,College of Arts and Sciences,Scholarship,6997,12/19/2015,Global Studies in the Arts and Humanities,1540,OH
Trustees Fund,Hartford,College of Natural Science,Endowment,9600,11/10/2015,Astrophysics,1541,CT
College of Business,Hartford,College of Natural Science,Scholarship,9600,3/20/2015,Astrophysics,1541,CT
Trustees Fund,Memphis,College of Social Science,Endowment,7944,8/14/2015,Psychology,1542,TN
Diversity Fund,Memphis,College of Social Science,Endowment,7944,7/8/2015,Psychology,1542,TN
Diversity Fund,Raleigh,College of Education,Endowment,83,6/4/2015,Kinesiology,1543,NC
Honors Program,Raleigh,College of Education,Campus Resource,83,12/22/2015,Kinesiology,1543,NC
College of Engineering,San Francisco,College of Social Science,Scholarship,2245,4/19/2015,Geographic Information Science,1544,CA
Honors Program,San Francisco,College of Social Science,Campus Resource,2245,4/4/2015,Geographic Information Science,1544,CA
College of Natural Science,Phoenix,College of Arts and Sciences,Scholarship,7821,10/27/2015,Interdisciplinary Humanities,1545,AZ
College of Social Science,Phoenix,College of Arts and Sciences,Scholarship,7821,4/4/2015,Interdisciplinary Humanities,1545,AZ
College of Natural Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,167,3/21/2015,Landscape Architecture,1546,AZ
College of Agriculture and Natural Resources,Phoenix,College of Agriculture and Natural Resources,Scholarship,167,5/21/2015,Landscape Architecture,1546,AZ
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,10906.5,7/21/2015,Environmental Studies and Agriscience,1547,CO
Faculty Chair Endowments,Denver,College of Agriculture and Natural Resources,Endowment,10906.5,8/6/2015,Environmental Studies and Agriscience,1547,CO
Trustees Fund,Seattle,College of Natural Science,Endowment,1797,1/10/2015,Microbiology,1548,WA
College of Agriculture and Natural Resources,Seattle,College of Natural Science,Scholarship,1797,4/13/2015,Microbiology,1548,WA
Faculty Chair Endowments,Orlando,College of Business,Endowment,8323,1/25/2015,Finance,1549,FL
College of Nursing,Orlando,College of Business,Scholarship,8323,3/23/2015,Finance,1549,FL
College of Social Science,Alexandria,College of Communication Arts and Sciences,Scholarship,2402,2/26/2015,Media and Information,1550,VA
Parents Association,Alexandria,College of Communication Arts and Sciences,Campus Resource,2402,2/18/2015,Media and Information,1550,VA
Honors Program,Austin,College of Arts and Sciences,Campus Resource,3404,12/24/2015,Humanities-Prelaw,1551,TX
In-State Scholarship Fund,Austin,College of Arts and Sciences,Scholarship,3404,5/17/2015,Humanities-Prelaw,1551,TX
Alumni Association,San Francisco,College of Social Science,Campus Resource,7931,11/30/2015,Geographic Information Science,1552,CA
College of Agriculture and Natural Resources,San Francisco,College of Social Science,Scholarship,7931,9/6/2015,Geographic Information Science,1552,CA
Trustees Fund,Seattle,College of Social Science,Endowment,5245,4/21/2015,History,1553,WA
Trustees Fund,Seattle,College of Social Science,Endowment,5245,2/6/2015,History,1553,WA
Honors Program,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400,8/18/2015,Agriculture and Natural Resources-No Preference,1554,GA
Parents Association,Atlanta,College of Agriculture and Natural Resources,Campus Resource,6400,1/19/2015,Agriculture and Natural Resources-No Preference,1554,GA
Diversity Fund,Hartford,College of Political Science,Endowment,5163,5/27/2015,Comparative Cultures and Politics,1555,CT
College of Natural Science,Hartford,College of Political Science,Scholarship,5163,12/15/2015,Comparative Cultures and Politics,1555,CT
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,9332,1/28/2015,Political Science,1556,TX
University Annual Fund,Dallas,College of Social Science,Endowment,9332,8/31/2015,Political Science,1556,TX
Alumni Association,San Francisco,College of Arts and Sciences,Campus Resource,7976,4/29/2015,Spanish,1557,CA
Diversity Fund,San Francisco,College of Arts and Sciences,Endowment,7976,9/30/2015,Spanish,1557,CA
Athletics,Mobile,College of Business,Campus Resource,8426,8/28/2015,Marketing,1558,AL
College of Natural Science,Mobile,College of Business,Scholarship,8426,6/26/2015,Marketing,1558,AL
Diversity Fund,Los Angeles,College of Business,Endowment,5782,4/27/2015,General Management,1559,CA
Campus Recreation,Los Angeles,College of Business,Campus Resource,5782,1/8/2015,General Management,1559,CA
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248,8/15/2015,Linguistics,1560,MA
College of Social Science,Boston,College of Arts and Sciences,Scholarship,6248,12/14/2015,Linguistics,1560,MA
College of Natural Science,Dallas,College of Social Science,Scholarship,1824,6/21/2015,Criminal Justice,1561,TX
Trustees Fund,Dallas,College of Social Science,Endowment,1824,7/22/2015,Criminal Justice,1561,TX
College of Music,Washington,College of Nursing,Scholarship,5240,2/7/2015,Summer Research Program,1562,DC
University Annual Fund,Washington,College of Nursing,Endowment,5240,7/10/2015,Summer Research Program,1562,DC
Diversity Fund,Boston,College of Arts and Sciences,Endowment,5475,12/1/2015,Professional Writing,1563,MA
College of Arts and Sciences,Boston,College of Arts and Sciences,Scholarship,5475,6/22/2015,Professional Writing,1563,MA
College of Natural Science,Las Vegas,College of Agriculture and Natural Resources,Scholarship,6246,8/8/2015,Landscape Architecture,1564,NV
Diversity Fund,Las Vegas,College of Agriculture and Natural Resources,Endowment,6246,9/28/2015,Landscape Architecture,1564,NV
University Annual Fund,Amarillo,College of Arts and Sciences,Endowment,1634,6/13/2015,Experience Architecture,1565,TX
Minority Scholarship Fund,Amarillo,College of Arts and Sciences,Scholarship,1634,3/9/2015,Experience Architecture,1565,TX
College of Engineering,Detroit,College of Agriculture and Natural Resources,Scholarship,6345,11/28/2015,Fisheries and Wildlife,1566,MI
Faculty Chair Endowments,Detroit,College of Agriculture and Natural Resources,Endowment,6345,12/17/2015,Fisheries and Wildlife,1566,MI
In-State Scholarship Fund,Overland Park,College of Veterinary Medicine,Scholarship,1848,1/31/2015,Preveterinary,1567,KS
College of Arts and Sciences,Overland Park,College of Veterinary Medicine,Scholarship,1848,9/30/2015,Preveterinary,1567,KS
Trustees Fund,Detroit,College of Nursing,Endowment,8298,7/12/2015,Summer Research Program,1568,MI
University Annual Fund,Detroit,College of Nursing,Endowment,8298,1/29/2015,Summer Research Program,1568,MI
Trustees Fund,Miami,College of Social Science,Endowment,7362,11/9/2015,Sociology,1569,FL
University Libraries,Miami,College of Social Science,Campus Resource,7362,1/10/2015,Sociology,1569,FL
College of Engineering,Seattle,College of Engineering,Scholarship,3403,11/22/2015,Engineering-No Major,1570,WA
Honors Program,Seattle,College of Engineering,Campus Resource,3403,10/10/2015,Engineering-No Major,1570,WA
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677,4/6/2015,Engineering-No Major,1571,FL
College of Agriculture and Natural Resources,Orlando,College of Engineering,Scholarship,3677,10/11/2015,Engineering-No Major,1571,FL
In-State Scholarship Fund,Tucson,College of Communication Arts and Sciences,Scholarship,3865,7/28/2015,Media and Information,1572,AZ
Faculty Chair Endowments,Tucson,College of Communication Arts and Sciences,Endowment,3865,2/7/2015,Media and Information,1572,AZ
Trustees Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624,8/10/2015,Landscape Architecture,1573,CA
University Annual Fund,Los Angeles,College of Agriculture and Natural Resources,Endowment,1624,10/31/2015,Landscape Architecture,1573,CA
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960,4/16/2015,Philosophy,1574,AZ
College of Agriculture and Natural Resources,Phoenix,College of Arts and Sciences,Scholarship,960,8/25/2015,Philosophy,1574,AZ
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230,12/30/2015,Food Industry Management,1575,IL
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,3230,10/12/2015,Food Industry Management,1575,IL
Trustees Fund,Phoenix,College of Business,Endowment,2679,7/15/2011,Finance,1576,AZ
Campus Museums,Phoenix,College of Business,Campus Resource,2679,10/25/2015,Finance,1576,AZ
College of Social Science,Louisville,College of Social Science,Scholarship,6812,2/16/2010,Urban and Regional Planning,1577,KY
Faculty Chair Endowments,Louisville,College of Social Science,Endowment,6812,2/10/2015,Urban and Regional Planning,1577,KY
Minority Scholarship Fund,Tallahassee,College of Business,Scholarship,7746,11/7/2011,General Management,1578,FL
University Annual Fund,Tallahassee,College of Business,Endowment,7746,2/26/2015,General Management,1578,FL
University Libraries,Nashville,College of Education,Campus Resource,6378,4/28/2010,Education,1579,TN
In-State Scholarship Fund,Nashville,College of Education,Scholarship,6378,6/17/2015,Education,1579,TN
Athletics,Miami,College of Arts and Sciences,Campus Resource,5494,5/1/2011,English,1580,FL
College of Arts and Sciences,Miami,College of Arts and Sciences,Scholarship,5494,12/6/2015,English,1580,FL
College of Arts and Sciences,New York,College of Music,Scholarship,182,3/6/2010,Music,1581,NY
College of Social Science,New York,College of Music,Scholarship,182,8/25/2015,Music,1581,NY
College of Natural Science,Columbia,College of Communication Arts and Sciences,Scholarship,3336,11/28/2011,Journalism,1582,SC
College of Natural Science,Columbia,College of Communication Arts and Sciences,Scholarship,3336,2/2/2015,Journalism,1582,SC
College of Business,Detroit,College of Agriculture and Natural Resources,Scholarship,9990,8/5/2010,Food Science,1583,MI
Trustees Fund,Detroit,College of Agriculture and Natural Resources,Endowment,9990,1/15/2015,Food Science,1583,MI
College of Social Science,Denver,College of Natural Science,Scholarship,9541.5,11/16/2011,Physical Science Interdepartmental,1584,CO
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,9541.5,12/22/2015,Physical Science Interdepartmental,1584,CO
College of Agriculture and Natural Resources,Washington,College of Agriculture and Natural Resources,Scholarship,1441,5/25/2010,Environmental Economics and Policy,1585,DC
Diversity Fund,Washington,College of Agriculture and Natural Resources,Endowment,1441,1/16/2015,Environmental Economics and Policy,1585,DC
University Annual Fund,Cleveland,College of Social Science,Endowment,8712,1/1/2011,Economics,1586,OH
College of Arts and Sciences,Cleveland,College of Social Science,Scholarship,8712,5/18/2015,Economics,1586,OH
College of Arts and Sciences,Eugene,College of Communication Arts and Sciences,Scholarship,8290,4/26/2010,Journalism,1587,OR
In-State Scholarship Fund,Eugene,College of Communication Arts and Sciences,Scholarship,8290,9/19/2015,Journalism,1587,OR
Trustees Fund,Denver,College of Arts and Sciences,Endowment,13408.5,10/9/2011,Chinese,1588,CO
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,13408.5,7/5/2015,Chinese,1588,CO
Faculty Chair Endowments,Memphis,College of Political Science,Endowment,8665,11/15/2010,Social Relations and Policy,1589,TN
College of Arts and Sciences,Memphis,College of Political Science,Scholarship,8665,1/9/2015,Social Relations and Policy,1589,TN
College of Agriculture and Natural Resources,Kansas City,College of Agriculture and Natural Resources,Scholarship,554,3/8/2011,Food Industry Management,1590,MO
College of Agriculture and Natural Resources,Kansas City,College of Agriculture and Natural Resources,Scholarship,554,12/23/2015,Food Industry Management,1590,MO
Diversity Fund,Fort Lauderdale,College of Agriculture and Natural Resources,Endowment,3896,12/30/2010,Packaging,1591,FL
College of Natural Science,Fort Lauderdale,College of Agriculture and Natural Resources,Scholarship,3896,3/25/2015,Packaging,1591,FL
Diversity Fund,Seattle,College of Agriculture and Natural Resources,Endowment,8592,7/15/2011,Horticulture,1592,WA
Diversity Fund,Seattle,College of Agriculture and Natural Resources,Endowment,8592,5/5/2015,Horticulture,1592,WA
Minority Scholarship Fund,Lexington,College of Natural Science,Scholarship,5524,5/6/2010,Actuarial Science,1593,KY
Diversity Fund,Lexington,College of Natural Science,Endowment,5524,6/15/2015,Actuarial Science,1593,KY
Campus Recreation,Madison,College of Engineering,Campus Resource,1778,10/28/2011,Mechanical Engineering,1594,WI
College of Engineering,Madison,College of Engineering,Scholarship,1778,2/23/2015,Mechanical Engineering,1594,WI
University Annual Fund,Denver,College of Arts and Sciences,Endowment,2718,11/9/2010,Art Education,1595,CO
Alumni Association,Denver,College of Arts and Sciences,Campus Resource,2718,12/5/2015,Art Education,1595,CO
In-State Scholarship Fund,Houston,College of Engineering,Scholarship,8893,6/14/2011,Applied Engineering Sciences,1596,TX
College of Agriculture and Natural Resources,Houston,College of Engineering,Scholarship,8893,6/22/2015,Applied Engineering Sciences,1596,TX
Parents Association,Colorado Springs,College of Arts and Sciences,Campus Resource,9066,2/26/2010,German,1597,CO
Faculty Chair Endowments,Colorado Springs,College of Arts and Sciences,Endowment,9066,6/24/2015,German,1597,CO
College of Natural Science,Anaheim,College of Arts and Sciences,Scholarship,5188,10/2/2011,Global Studies in the Arts and Humanities,1598,CA
University Annual Fund,Anaheim,College of Arts and Sciences,Endowment,5188,1/11/2015,Global Studies in the Arts and Humanities,1598,CA
College of Arts and Sciences,Denver,College of Engineering,Scholarship,2350.5,5/25/2010,Electrical Engineering,1599,CO
Faculty Chair Endowments,Denver,College of Engineering,Endowment,2350.5,3/7/2015,Electrical Engineering,1599,CO
College of Arts and Sciences,Mobile,College of Natural Science,Scholarship,4743,10/25/2011,Mathematics,1600,AL
University Annual Fund,Mobile,College of Natural Science,Endowment,4743,10/18/2015,Mathematics,1600,AL
Parents Association,Colorado Springs,College of Arts and Sciences,Campus Resource,1720,9/13/2010,French,1601,CO
Diversity Fund,Colorado Springs,College of Arts and Sciences,Endowment,1720,1/19/2015,French,1601,CO
Honors Program,Sacramento,College of Business,Campus Resource,2779,11/15/2011,Marketing,1602,CA
Athletics,Sacramento,College of Business,Campus Resource,2779,1/22/2015,Marketing,1602,CA
College of Social Science,Des Moines,College of Agriculture and Natural Resources,Scholarship,1587,8/30/2010,Nutritional Sciences,1603,IA
University Annual Fund,Des Moines,College of Agriculture and Natural Resources,Endowment,1587,2/12/2015,Nutritional Sciences,1603,IA
Minority Scholarship Fund,Cincinnati,College of Arts and Sciences,Scholarship,7391,8/4/2011,Theatre,1604,OH
Faculty Chair Endowments,Cincinnati,College of Arts and Sciences,Endowment,7391,6/26/2015,Theatre,1604,OH
University Annual Fund,St. Louis,College of Natural Science,Endowment,605,4/22/2010,Environmental Geosciences,1605,MO
College of Arts and Sciences,St. Louis,College of Natural Science,Scholarship,605,11/21/2015,Environmental Geosciences,1605,MO
College of Arts and Sciences,Los Angeles,College of Agriculture and Natural Resources,Scholarship,1620,5/8/2011,Environmental Economics and Policy,1606,CA
Faculty Chair Endowments,Los Angeles,College of Agriculture and Natural Resources,Endowment,1620,2/8/2015,Environmental Economics and Policy,1606,CA
College of Engineering,Denver,College of Natural Science,Scholarship,3829.5,5/7/2010,Environmental Biology/Microbiology,1607,CO
In-State Scholarship Fund,Denver,College of Natural Science,Scholarship,3829.5,2/12/2015,Environmental Biology/Microbiology,1607,CO
University Annual Fund,Tallahassee,College of Political Science,Endowment,9783,7/27/2011,Comparative Cultures and Politics,1608,FL
Diversity Fund,Tallahassee,College of Political Science,Endowment,9783,9/13/2015,Comparative Cultures and Politics,1608,FL
Alumni Association,Kansas City,College of Social Science,Campus Resource,8976,9/10/2010,Public Policy,1609,MO
Alumni Association,Kansas City,College of Social Science,Campus Resource,8976,3/27/2015,Public Policy,1609,MO
Diversity Fund,Denver,College of Nursing,Endowment,5706,12/27/2011,Summer Research Program,1610,CO
College of Natural Science,Denver,College of Nursing,Scholarship,5706,8/11/2015,Summer Research Program,1610,CO
Trustees Fund,Memphis,College of Natural Science,Endowment,1433,2/20/2010,Astrophysics,1611,TN
University Annual Fund,Memphis,College of Natural Science,Endowment,1433,10/4/2015,Astrophysics,1611,TN
University Annual Fund,Reno,College of Agriculture and Natural Resources,Endowment,4948,9/15/2011,Horticulture,1612,NV
Parents Association,Reno,College of Agriculture and Natural Resources,Campus Resource,4948,7/4/2015,Horticulture,1612,NV
College of Natural Science,Albuquerque,College of Arts and Sciences,Scholarship,9062,7/13/2010,Global Studies in the Arts and Humanities,1613,NM
Trustees Fund,Albuquerque,College of Arts and Sciences,Endowment,9062,11/29/2015,Global Studies in the Arts and Humanities,1613,NM
University Annual Fund,Phoenix,College of Music,Endowment,5040,9/5/2011,Composition,1614,AZ
Athletics,Phoenix,College of Music,Campus Resource,5040,5/9/2015,Composition,1614,AZ
Minority Scholarship Fund,Denver,College of Social Science,Scholarship,4381.5,4/5/2010,Interdisciplinary Studies in Social Science - Social Science Education,1615,CO
Campus Museums,Denver,College of Social Science,Campus Resource,4381.5,12/9/2015,Interdisciplinary Studies in Social Science - Social Science Education,1615,CO
College of Agriculture and Natural Resources,Seattle,College of Arts and Sciences,Scholarship,8474,3/8/2010,Spanish,1616,WA
University Annual Fund,Seattle,College of Arts and Sciences,Endowment,8474,8/7/2015,Spanish,1616,WA
Trustees Fund,Lansing,College of Social Science,Endowment,5550,8/3/2011,Political Science-Prelaw,1617,MI
University Annual Fund,Lansing,College of Social Science,Endowment,5550,6/7/2015,Political Science-Prelaw,1617,MI
Alumni Association,Philadelphia,College of Social Science,Campus Resource,9462,8/11/2010,Criminal Justice,1618,PA
